ID,price,appraisaloffer,online_appraisal_flag,model_year,mileage,make,model,trim_descrip,body,color,engine,cylinders,mpg_city,mpg_highway,horsepower,fuel_capacity,market
1,37500,7500,1,2014,15,ARU,ARU_16,Premium,E,Black,3.5L,6,20,27,284,19,1
2,22500,2500,0,2015,20,JHO,JHO_10,Not Premium,F,Red,1.4L,4,30,40,147,13,14
3,22500,17500,0,2014,35,HDT,HDT_7,null,null,Blue,2.0L,4,28,36,152,13,9
4,12500,7500,0,2008,100,CZV,CZV_6,Not Premium,F,White,2.0L,4,28,40,155,14,15
5,22500,2500,0,2013,40,LTX,LTX_20,Not Premium,E,Blue,1.5L,4,24,30,170,15,13
6,32500,12500,0,2014,30,HAE,HAE_12,Premium,E,Black,2.0L,4,24,31,268,16,4
7,22500,7500,0,2011,25,AIH,AIH_5,Premium,E,Gray,2.5L,4,22,29,176,15,14
8,42500,7500,0,2015,20,HXQ,HXQ_1,null,E,Black,3.5L,6,19,26,280,19,2
9,22500,17500,null,2014,40,LTX,LTX_20,Not Premium,E,Gray,1.5L,4,25,30,170,15,5
10,17500,2500,1,2010,75,HXQ,HXQ_10,Not Premium,E,Black,2.4L,4,26,33,185,15,4
11,22500,2500,1,2013,30,KQZ,KQZ_23,Not Premium,E,Black,2.0L,4,20,27,245,18,14
12,32500,22500,0,2011,65,AIH,AIH_15,Premium,E,Gray,3.5L,6,18,24,270,19,15
13,52500,22500,0,2014,20,ARU,ARU_11,Premium,E,White,5.6L,8,13,18,390,26,9
14,32500,12500,1,2013,30,AIH,AIH_15,Not Premium,E,White,3.5L,6,20,26,295,19,11
15,27500,7500,1,2014,10,HXQ,HXQ_14,Premium,F,White,1.5L,4,29,35,192,14,8
16,37500,7500,1,2012,25,CIP,CIP_31,null,E,Black,3.5L,6,19,26,295,19,4
17,37500,12500,0,2014,30,HXQ,HXQ_4,Premium,G,Gray,3.5L,6,19,28,280,19,7
18,17500,7500,0,2014,30,LTX,LTX_30,Not Premium,E,Black,1.4L,4,26,31,138,14,9
